ts,trade_id,security_id,delta_weight,fill_mark_override
2025-05-17,20250517_674449062_677916019_3730,674449062,0.05,105.6942
2025-05-17,20250517_674449062_677916019_3730,677916019,-0.05,
2025-05-19,20250511_844671559_592747461_2010,844671559,-0.05,
2025-05-19,20250511_844671559_592747461_2010,592747461,0.05,
2025-05-31,20250531_070841086_808428039_9354,070841086,0.05,99.3934
2025-05-31,20250531_070841086_808428039_9354,808428039,-0.05,
2025-06-02,20250513_836002513_685486837_3547,836002513,-0.05,
2025-06-02,20250513_836002513_685486837_3547,685486837,0.05,
2025-06-05,20250517_674449062_677916019_3730,674449062,-0.05,
2025-06-05,20250517_674449062_677916019_3730,677916019,0.05,
2025-06-15,20250615_253057480_045220930_4263,253057480,0.05,96.2168
2025-06-15,20250615_253057480_045220930_4263,045220930,-0.05,
2025-06-19,20250619_568871127_720379678_1071,568871127,0.05,91.9487
2025-06-19,20250619_568871127_720379678_1071,720379678,-0.05,
2025-06-19,20250531_070841086_808428039_9354,070841086,-0.05,
2025-06-19,20250531_070841086_808428039_9354,808428039,0.05,
2025-06-27,20250627_045220930_558965638_8686,045220930,0.05,93.2616
2025-06-27,20250627_045220930_558965638_8686,558965638,-0.05,
2025-06-30,20250615_253057480_045220930_4263,253057480,-0.05,
2025-06-30,20250615_253057480_045220930_4263,045220930,0.05,
2025-07-04,20250619_568871127_720379678_1071,568871127,-0.05,
2025-07-04,20250619_568871127_720379678_1071,720379678,0.05,
2025-07-06,20250706_265908927_171222019_9406,265908927,0.05,96.2028
2025-07-06,20250706_265908927_171222019_9406,171222019,-0.05,
2025-07-13,20250627_045220930_558965638_8686,045220930,-0.05,
2025-07-13,20250627_045220930_558965638_8686,558965638,0.05,
2025-07-18,20250706_265908927_171222019_9406,265908927,-0.05,
2025-07-18,20250706_265908927_171222019_9406,171222019,0.05,
2025-07-23,20250723_426542251_870347284_5625,426542251,0.05,106.7839
2025-07-23,20250723_426542251_870347284_5625,870347284,-0.05,
2025-07-25,20250725_530929695_660032749_2911,530929695,0.05,100.1740
2025-07-25,20250725_530929695_660032749_2911,660032749,-0.05,
2025-08-05,20250723_426542251_870347284_5625,426542251,-0.05,
2025-08-05,20250723_426542251_870347284_5625,870347284,0.05,
2025-08-07,20250807_100997033_205902544_5462,100997033,0.05,99.8179
2025-08-07,20250807_100997033_205902544_5462,205902544,-0.05,
2025-08-09,20250809_953859395_775683516_4132,953859395,0.05,103.0967
2025-08-09,20250809_953859395_775683516_4132,775683516,-0.05,
2025-08-14,20250725_530929695_660032749_2911,530929695,-0.05,
2025-08-14,20250725_530929695_660032749_2911,660032749,0.05,
2025-08-14,20250814_998644521_818731310_3353,998644521,0.05,103.4740
2025-08-14,20250814_998644521_818731310_3353,818731310,-0.05,
2025-08-15,20250815_662707131_6526,662707131,0.0500,96.3421
2025-08-17,20250817_523431369_091608918_6940,523431369,0.05,108.3778
2025-08-17,20250817_523431369_091608918_6940,091608918,-0.05,
2025-08-18,20250809_953859395_775683516_4132,953859395,-0.05,
2025-08-18,20250809_953859395_775683516_4132,775683516,0.05,
2025-08-18,20250807_100997033_205902544_5462,100997033,-0.05,
2025-08-18,20250807_100997033_205902544_5462,205902544,0.05,
2025-08-23,20250817_523431369_091608918_6940,523431369,-0.05,
2025-08-23,20250817_523431369_091608918_6940,091608918,0.05,
2025-08-30,20250830_080895748_6151,080895748,-0.0500,
2025-08-31,20250831_865386950_448214782_9985,865386950,0.05,112.1556
2025-08-31,20250831_865386950_448214782_9985,448214782,-0.05,
2025-09-01,20250815_662707131_6526,662707131,-0.0500,
2025-09-02,20250814_998644521_818731310_3353,998644521,-0.05,
2025-09-02,20250814_998644521_818731310_3353,818731310,0.05,
2025-09-12,20250831_865386950_448214782_9985,865386950,-0.05,
2025-09-12,20250831_865386950_448214782_9985,448214782,0.05,
2025-09-14,20250830_080895748_6151,080895748,0.0500,
2025-09-23,20250923_464689197_077603155_8798,464689197,0.05,102.3103
2025-09-23,20250923_464689197_077603155_8798,077603155,-0.05,
2025-10-04,20250923_464689197_077603155_8798,464689197,-0.05,
2025-10-04,20250923_464689197_077603155_8798,077603155,0.05,
2025-10-12,20251012_528699169_232759058_4922,528699169,0.05,105.4455
2025-10-12,20251012_528699169_232759058_4922,232759058,-0.05,
2025-10-26,20251026_840741674_426865178_9357,840741674,0.05,109.1081
2025-10-26,20251026_840741674_426865178_9357,426865178,-0.05,
2025-10-28,20251012_528699169_232759058_4922,528699169,-0.05,
2025-10-28,20251012_528699169_232759058_4922,232759058,0.05,
2025-10-29,20251029_610904162_448697307_5344,610904162,0.05,92.9558
2025-10-29,20251029_610904162_448697307_5344,448697307,-0.05,
2025-11-02,20251102_645181196_722130779_2412,645181196,0.05,110.5882
2025-11-02,20251102_645181196_722130779_2412,722130779,-0.05,
2025-11-04,20251104_066669134_352592664_7492,066669134,0.05,99.7060
2025-11-04,20251104_066669134_352592664_7492,352592664,-0.05,
2025-11-07,20251029_610904162_448697307_5344,610904162,-0.05,
2025-11-07,20251029_610904162_448697307_5344,448697307,0.05,
2025-11-08,20251026_840741674_426865178_9357,840741674,-0.05,
2025-11-08,20251026_840741674_426865178_9357,426865178,0.05,
2025-11-10,20251110_685486837_980554458_5597,685486837,0.05,103.5147
2025-11-10,20251110_685486837_980554458_5597,980554458,-0.05,
2025-11-12,20251112_376427257_015667299_2572,376427257,0.05,104.3195
2025-11-12,20251112_376427257_015667299_2572,015667299,-0.05,
2025-11-13,20251113_663591088_794924151_3063,663591088,0.05,102.0476
2025-11-13,20251113_663591088_794924151_3063,794924151,-0.05,
2025-11-14,20251114_106650090_1856,106650090,0.0500,106.4674
2025-11-19,20251102_645181196_722130779_2412,645181196,-0.05,
2025-11-19,20251102_645181196_722130779_2412,722130779,0.05,
2025-11-22,20251122_185135126_8854,185135126,-0.0500,
2025-11-22,20251113_663591088_794924151_3063,663591088,-0.05,
2025-11-22,20251113_663591088_794924151_3063,794924151,0.05,
2025-11-24,20251104_066669134_352592664_7492,066669134,-0.05,
2025-11-24,20251104_066669134_352592664_7492,352592664,0.05,
2025-11-27,20251112_376427257_015667299_2572,376427257,-0.05,
2025-11-27,20251112_376427257_015667299_2572,015667299,0.05,
2025-11-29,20251129_524357551_8648,524357551,0.0500,96.7742
2025-11-29,20251110_685486837_980554458_5597,685486837,-0.05,
2025-11-29,20251110_685486837_980554458_5597,980554458,0.05,
2025-12-02,20251114_106650090_1856,106650090,-0.0500,
2025-12-03,20251203_685486837_732620645_5434,685486837,0.05,103.7927
2025-12-03,20251203_685486837_732620645_5434,732620645,-0.05,
2025-12-05,20251205_987149769_648621478_5217,987149769,0.05,97.2261
2025-12-05,20251205_987149769_648621478_5217,648621478,-0.05,
2025-12-07,20251207_295543679_246728788_3080,295543679,0.05,100.4552
2025-12-07,20251207_295543679_246728788_3080,246728788,-0.05,
2025-12-09,20251122_185135126_8854,185135126,0.0500,
2025-12-12,20251207_295543679_246728788_3080,295543679,-0.05,
2025-12-12,20251207_295543679_246728788_3080,246728788,0.05,
2025-12-12,20251205_987149769_648621478_5217,987149769,-0.05,
2025-12-12,20251205_987149769_648621478_5217,648621478,0.05,
2025-12-17,20251129_524357551_8648,524357551,-0.0500,
2025-12-21,20251203_685486837_732620645_5434,685486837,-0.05,
2025-12-21,20251203_685486837_732620645_5434,732620645,0.05,
